school,roomName,seatName,devSn
大学城校区,501建筑设计书库,501-007,100587948
大学城校区,501建筑设计书库,501-015,100587956
大学城校区,501建筑设计书库,501-023,100587964
大学城校区,501建筑设计书库,501-031,100587972
大学城校区,501建筑设计书库,501-039,100587980
大学城校区,501建筑设计书库,501-047,100587988
大学城校区,501建筑设计书库,501-055,100587996
大学城校区,501建筑设计书库,501-063,100588004
大学城校区,501建筑设计书库,501-071,100588012
大学城校区,501建筑设计书库,501-079,100588020
大学城校区,501建筑设计书库,501-087,100588028
大学城校区,501建筑设计书库,501-095,100588036
大学城校区,501建筑设计书库,501-103,100588044
大学城校区,501建筑设计书库,501-111,100588052
大学城校区,501建筑设计书库,501-119,100588060
大学城校区,501建筑设计书库,501-127,100588068
大学城校区,501建筑设计书库,501-135,100588076
大学城校区,501建筑设计书库,501-143,100588084
大学城校区,501建筑设计书库,501-151,100588092
大学城校区,501建筑设计书库,501-159,100588100
大学城校区,501建筑设计书库,501-167,100588108
大学城校区,501建筑设计书库,501-175,100588116
大学城校区,501建筑设计书库,501-183,100588124
大学城校区,501建筑设计书库,501-191,100588132
大学城校区,501建筑设计书库,501-199,100588140
大学城校区,501建筑设计书库,501-A07,101266295
大学城校区,501建筑设计书库,501-A15,101266303
大学城校区,501建筑设计书库,501-A23,101266311
